thread_id,thread_title,post_idx_in_thread,page_idx_in_thread,timestamp_utc,author_hmac,author_was_guest,content_clean,content_hash,content_len_chars,content_len_chars_raw,is_reply,had_quote_block,n_urls,n_emojis,parent_post_idx,votes_up,votes_down,url_canonical,parser_version,scraped_at_utc
69408837,Pamietacie początek 2024 r.,3,3,2024-12-30T18:26:00+00:00,52aa2d33b74fb27e3d61,True,"Pewnie że tak,kupowałem wtedy po 99zl i żałuję do dziś że tak mało,człowiek się nasłuchał i czekał na te wasze 80zl i później łapałem tylko wyżej i wyżej",9e27664ebd10ddff,153,153,False,False,0,0,,6,0,"https://www.bankier.pl/forum/temat_re-pamietacie-poczatek-2024-r,69409657.html",0.2.0,2026-05-14T13:23:00.054442+00:00
69408837,Pamietacie początek 2024 r.,4,4,2024-12-30T19:20:00+00:00,e44ccff6d2759ef15643,True,"Ja cały czas dobieram i spokojnie do 300 350 będę dobieral , bo i tak się opłaci , żebym później nie żałował że ""mogłem dobrać""",f580046def003976,127,127,False,False,0,0,,2,0,"https://www.bankier.pl/forum/temat_re-pamietacie-poczatek-2024-r,69410191.html",0.2.0,2026-05-14T13:23:05.234402+00:00
69408963,Ciri historia prawdziwa,0,0,2024-12-30T17:19:00+00:00,9964393085b0b5210b60,True,Czy 4 przyniesie pecha CD Projekt?,39dbccf71b11621d,34,76,False,False,1,0,,2,2,"https://www.bankier.pl/forum/temat_ciri-historia-prawdziwa,69408963.html",0.2.0,2026-05-14T13:23:09.023654+00:00
69408963,Ciri historia prawdziwa,1,1,2024-12-30T17:58:00+00:00,e44ccff6d2759ef15643,True,"Nie, przyniesie rekordowe zyski, to jasne jak słońce",82e1f1c093b102e3,52,52,False,False,0,0,,4,1,"https://www.bankier.pl/forum/temat_re-ciri-historia-prawdziwa,69409361.html",0.2.0,2026-05-14T13:23:19.484599+00:00
69409309,W 2025 nie bendziecie już biedakami!!!,0,0,2024-12-30T17:53:00+00:00,bfb3d450478b2a9abce4,True,Jak te akcje wywali na 2000 złoty to każdy bendzie bardzo za możny.,3abb13985cdbb03a,67,67,False,False,0,0,,5,0,"https://www.bankier.pl/forum/temat_w-2025-nie-bendziecie-juz-biedakami,69409309.html",0.2.0,2026-05-14T13:23:22.915734+00:00
69363729,"CD Projekt Red Designer Hates You, States He Wants To Punch Gamers...",2,2,2024-12-24T12:23:00+00:00,56e3a68b12c43d3ce1c4,True,Źle to wygląda...,7af2be5bba9b6a85,17,17,False,False,0,0,,4,11,"https://www.bankier.pl/forum/temat_cd-projekt-red-designer-hates-you-states-he-wants-to-punch-gamers,69368511.html",0.2.0,2026-05-14T13:23:45.200425+00:00
69363729,"CD Projekt Red Designer Hates You, States He Wants To Punch Gamers...",3,3,2024-12-24T23:51:00+00:00,39006190c135fb478bea,True,"Spokojnie, normalnych inaczej jest na tej planecie może z 5 procent, z tego około 1 procent stać na sprzęt i gry. Jak cd pójdzie ta droga, to skończy jak ubisoft. Mam nadzieję że jednak w CD są myślący ludzie i wyciągają wnioski z innych firm.",7cbfc6ab21174665,243,243,False,False,0,0,,10,2,"https://www.bankier.pl/forum/temat_re-cd-projekt-red-designer-hates-you-states-he-wants-to-punch-gamers,69370593.html",0.2.0,2026-05-14T13:23:48.932390+00:00
69363729,"CD Projekt Red Designer Hates You, States He Wants To Punch Gamers...",4,4,2024-12-26T23:49:00+00:00,546fe158fa8ec8c5296e,True,"No jak widać Ci myślący nie mają tam prawa głosu lub opuścili studio, bo CDPR dalej w to brnie... Concord, Dustborn, Saints Row Reboot, Unknown 9, Forspoken, Veilguard, Outlaws...Wiedźmin 4?",137aa4d643bce55a,190,190,False,False,0,0,,7,8,"https://www.bankier.pl/forum/temat_re-cd-projekt-red-designer-hates-you-states-he-wants-to-punch-gamers,69378153.html",0.2.0,2026-05-14T13:23:52.737931+00:00
69363729,"CD Projekt Red Designer Hates You, States He Wants To Punch Gamers...",5,5,2024-12-27T00:26:00+00:00,09318b83a5d3cca8f66e,True,"Tak tak, CDR dalej w to brnie i tak co kwartał wyciąga po kilkadziesiąt milionów zysku, a kasy odłożone mają tyle, że mogliby te wszystkie studia wciągnąć nosem gdyby nie fundy... Sprzedałeś chłopczyku i marudzisz, naprawdę warto ryzykować, że spadnie nawet o 10 zł? Większe prawdopodobieństwo jest wzrostów czy spadków? Inwestorzy xd",fd3856ffe4b4bf3e,334,332,False,False,0,0,,11,8,"https://www.bankier.pl/forum/temat_re-cd-projekt-red-designer-hates-you-states-he-wants-to-punch-gamers,69378217.html",0.2.0,2026-05-14T13:23:56.496232+00:00
69363729,"CD Projekt Red Designer Hates You, States He Wants To Punch Gamers...",6,6,2024-12-27T09:12:00+00:00,546fe158fa8ec8c5296e,True,"Patrz w przyszłość dekadę, czy dwie. Jakbym napisał w 2014, że Ubisoft będzie miał w 2024 problemy przez DEI to byś się pewnie śmiał. A red flagi były już wtedy. Co jak W4 jednak nie wypali? Czy spełni wysokie oczekiwania inwestorów i graczy? A co z W5?",04654590d0c5a6da,253,253,False,False,0,0,,3,4,"https://www.bankier.pl/forum/temat_re-cd-projekt-red-designer-hates-you-states-he-wants-to-punch-gamers,69379067.html",0.2.0,2026-05-14T13:23:59.607687+00:00
